method, generation, latency, ar
surrogate, 1, 31.0, 0.53125
surrogate, 1, 28.0, 0.5
surrogate, 1, 27.0, 0.3125
surrogate, 1, 26.0, 0.28125
surrogate, 1, 25.0, 0.25
surrogate, 1, 24.0, 0.09375
surrogate, 1, 23.0, 0.03125
surrogate, 2, 31.0, 0.53125
surrogate, 2, 28.0, 0.5
surrogate, 2, 27.0, 0.3125
surrogate, 2, 25.0, 0.28125
surrogate, 2, 24.0, 0.09375
surrogate, 2, 24.0, 0.09375
surrogate, 2, 23.0, 0.03125
surrogate, 2, 23.0, 0.03125
surrogate, 3, 31.0, 0.53125
surrogate, 3, 28.0, 0.5
surrogate, 3, 28.0, 0.5
surrogate, 3, 27.0, 0.40625
surrogate, 3, 25.0, 0.28125
surrogate, 3, 25.0, 0.28125
surrogate, 3, 24.0, 0.09375
surrogate, 3, 24.0, 0.09375
surrogate, 3, 24.0, 0.09375
surrogate, 3, 24.0, 0.09375
surrogate, 3, 23.0, 0.03125
surrogate, 3, 23.0, 0.03125
surrogate, 3, 23.0, 0.03125
surrogate, 3, 23.0, 0.03125
surrogate, 4, 31.0, 0.53125
surrogate, 4, 28.0, 0.5
surrogate, 4, 28.0, 0.5
surrogate, 4, 28.0, 0.5
surrogate, 4, 27.0, 0.40625
surrogate, 4, 25.0, 0.28125
surrogate, 4, 25.0, 0.28125
surrogate, 4, 25.0, 0.28125
surrogate, 4, 25.0, 0.28125
surrogate, 4, 24.0, 0.25
surrogate, 4, 23.0, 0.03125
surrogate, 4, 23.0, 0.03125
surrogate, 4, 23.0, 0.03125
surrogate, 4, 23.0, 0.03125
surrogate, 4, 23.0, 0.03125
surrogate, 4, 23.0, 0.03125
surrogate, 4, 23.0, 0.03125
surrogate, 4, 23.0, 0.03125
surrogate, 5, 31.0, 0.53125
surrogate, 5, 31.0, 0.53125
surrogate, 5, 27.0, 0.5
surrogate, 5, 25.0, 0.28125
surrogate, 5, 25.0, 0.28125
surrogate, 5, 25.0, 0.28125
surrogate, 5, 25.0, 0.28125
surrogate, 5, 25.0, 0.28125
surrogate, 5, 24.0, 0.25
surrogate, 5, 24.0, 0.25
surrogate, 5, 23.0, 0.0625
surrogate, 5, 23.0, 0.0625
surrogate, 6, 31.0, 0.53125
surrogate, 6, 31.0, 0.53125
surrogate, 6, 31.0, 0.53125
surrogate, 6, 31.0, 0.53125
surrogate, 6, 26.0, 0.5
surrogate, 6, 25.0, 0.28125
surrogate, 6, 25.0, 0.28125
surrogate, 6, 25.0, 0.28125
surrogate, 6, 25.0, 0.28125
surrogate, 6, 25.0, 0.28125
surrogate, 6, 25.0, 0.28125
surrogate, 6, 25.0, 0.28125
surrogate, 6, 25.0, 0.28125
surrogate, 6, 25.0, 0.28125
surrogate, 6, 25.0, 0.28125
surrogate, 6, 23.0, 0.25
surrogate, 7, 31.0, 0.53125
surrogate, 7, 31.0, 0.53125
surrogate, 7, 31.0, 0.53125
surrogate, 7, 31.0, 0.53125
surrogate, 7, 31.0, 0.53125
surrogate, 7, 26.0, 0.5
surrogate, 7, 25.0, 0.4375
surrogate, 7, 23.0, 0.25
surrogate, 8, 33.0, 0.75
surrogate, 8, 31.0, 0.53125
surrogate, 8, 31.0, 0.53125
surrogate, 8, 31.0, 0.53125
surrogate, 8, 31.0, 0.53125
surrogate, 8, 31.0, 0.53125
surrogate, 8, 31.0, 0.53125
surrogate, 8, 31.0, 0.53125
surrogate, 8, 26.0, 0.5
surrogate, 8, 26.0, 0.5
surrogate, 8, 25.0, 0.4375
surrogate, 8, 25.0, 0.4375
surrogate, 8, 23.0, 0.25
surrogate, 8, 23.0, 0.25
surrogate, 9, 33.0, 0.75
surrogate, 9, 33.0, 0.75
surrogate, 9, 30.0, 0.53125
surrogate, 9, 26.0, 0.5
surrogate, 9, 26.0, 0.5
surrogate, 9, 26.0, 0.5
surrogate, 9, 25.0, 0.4375
surrogate, 9, 25.0, 0.4375
surrogate, 9, 25.0, 0.4375
surrogate, 9, 25.0, 0.4375
surrogate, 9, 23.0, 0.25
surrogate, 9, 23.0, 0.25
surrogate, 9, 23.0, 0.25
surrogate, 9, 23.0, 0.25
surrogate, 10, 33.0, 0.75
surrogate, 10, 33.0, 0.75
surrogate, 10, 27.0, 0.53125
