method, generation, latency, ar
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 1, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 2, 500.0, 0.99
surrogate, 3, 2497.0, 1.0
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 3, 500.0, 0.99
surrogate, 4, 2497.0, 1.0
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 4, 500.0, 0.99
surrogate, 5, 2497.0, 1.0
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 5, 500.0, 0.99
surrogate, 6, 2497.0, 1.0
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 6, 500.0, 0.99
surrogate, 7, 2457.0, 1.0
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 7, 500.0, 0.99
surrogate, 8, 2457.0, 1.0
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 8, 500.0, 0.99
surrogate, 9, 2457.0, 1.0
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 9, 500.0, 0.99
surrogate, 10, 2457.0, 1.0
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 10, 500.0, 0.99
surrogate, 11, 2457.0, 1.0
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 11, 500.0, 0.99
surrogate, 12, 2457.0, 1.0
surrogate, 12, 500.0, 0.99
surrogate, 12, 500.0, 0.99
surrogate, 12, 500.0, 0.99
surrogate, 12, 500.0, 0.99
surrogate, 12, 500.0, 0.99
surrogate, 12, 500.0, 0.99
surrogate, 12, 500.0, 0.99
surrogate, 12, 500.0, 0.99
surrogate, 12, 500.0, 0.99
surrogate, 12, 500.0, 0.99
surrogate, 12, 500.0, 0.99
surrogate, 12, 500.0, 0.99
