method, generation, latency, ar
surrogate, 1, 48.0, 0.9125
surrogate, 1, 46.0, 0.8875
surrogate, 2, 48.0, 0.925
surrogate, 2, 46.0, 0.9
surrogate, 2, 45.0, 0.825
surrogate, 3, 48.0, 0.925
surrogate, 3, 46.0, 0.9
surrogate, 3, 45.0, 0.825
surrogate, 4, 48.0, 0.925
surrogate, 4, 47.0, 0.9125
surrogate, 4, 46.0, 0.9
surrogate, 4, 46.0, 0.9
surrogate, 4, 45.0, 0.825
surrogate, 4, 45.0, 0.825
surrogate, 5, 47.0, 0.925
surrogate, 5, 46.0, 0.9
surrogate, 5, 46.0, 0.9
surrogate, 5, 45.0, 0.825
surrogate, 5, 45.0, 0.825
surrogate, 6, 46.0, 0.9375
surrogate, 6, 45.0, 0.875
surrogate, 7, 46.0, 0.9375
surrogate, 7, 45.0, 0.875
surrogate, 8, 46.0, 0.9375
surrogate, 8, 45.0, 0.875
surrogate, 9, 46.0, 0.9375
surrogate, 9, 45.0, 0.875
surrogate, 10, 46.0, 0.9375
surrogate, 10, 45.0, 0.875
surrogate, 11, 46.0, 0.9375
surrogate, 11, 45.0, 0.875
surrogate, 12, 48.0, 0.95
surrogate, 12, 46.0, 0.9375
surrogate, 12, 45.0, 0.875
