time,sfc,reqps,max_cpu,max_memory,total_link_score,max_link_score,total_delay,generation,individual,ar,real_reqps,latency
0,sfc0-0,20.0,0.06707356870174408,0.06962728500366211,104.0,14.0,24,0,0,0.125,1.0,126.483222
0,sfc0-1,20.0,0.06707356870174408,0.06152565777301788,104.0,14.0,22,0,0,0.125,4.0,58.841995999999995
0,sfc0-2,20.0,0.08076229691505432,0.06962728500366211,106.0,14.0,22,0,0,0.125,4.0,72.57401949999999
0,sfc0-3,20.0,0.08076229691505432,0.05342403054237366,90.0,14.0,20,0,0,0.125,1.0,99.160581
1,sfc0-0,20.0,0.06707356870174408,0.06962728500366211,104.0,14.0,24,0,0,0.125,17.0,38.701646
1,sfc0-1,20.0,0.06707356870174408,0.06152565777301788,104.0,14.0,22,0,0,0.125,19.0,36.074851
1,sfc0-2,20.0,0.08076229691505432,0.06962728500366211,106.0,14.0,22,0,0,0.125,20.0,34.808541000000005
1,sfc0-3,20.0,0.08076229691505432,0.05342403054237366,90.0,14.0,20,0,0,0.125,17.0,35.161544
2,sfc0-0,20.0,0.06707356870174408,0.06962728500366211,104.0,14.0,24,0,0,0.125,20.0,34.609627
2,sfc0-1,20.0,0.06707356870174408,0.06152565777301788,104.0,14.0,22,0,0,0.125,20.0,34.122312
2,sfc0-2,20.0,0.08076229691505432,0.06962728500366211,106.0,14.0,22,0,0,0.125,19.0,33.678024
2,sfc0-3,20.0,0.08076229691505432,0.05342403054237366,90.0,14.0,20,0,0,0.125,20.0,30.131093
3,sfc0-0,21.0,0.0690927729010582,0.06962806582450867,109.2,14.7,24,0,0,0.125,20.0,34.307126499999995
3,sfc0-1,21.0,0.0690927729010582,0.061537766456604005,109.19999999999999,14.7,22,0,0,0.125,20.0,34.3325485
3,sfc0-2,21.0,0.08339099586009979,0.06962806582450867,111.3,14.7,22,0,0,0.125,21.0,33.80745
3,sfc0-3,21.0,0.08339099586009979,0.05344746708869934,94.5,14.7,20,0,0,0.125,20.0,33.9740325
4,sfc0-0,21.0,0.0690927729010582,0.06962806582450867,109.2,14.7,24,0,0,0.125,21.0,34.212484
4,sfc0-1,21.0,0.0690927729010582,0.061537766456604005,109.19999999999999,14.7,22,0,0,0.125,21.0,33.278512
4,sfc0-2,21.0,0.08339099586009979,0.06962806582450867,111.3,14.7,22,0,0,0.125,21.0,33.480845
4,sfc0-3,21.0,0.08339099586009979,0.05344746708869934,94.5,14.7,20,0,0,0.125,21.0,33.879233
5,sfc0-0,21.0,0.0690927729010582,0.06962806582450867,109.2,14.7,24,0,0,0.125,21.0,33.669045
5,sfc0-1,21.0,0.0690927729010582,0.061537766456604005,109.19999999999999,14.7,22,0,0,0.125,21.0,30.172073
5,sfc0-2,21.0,0.08339099586009979,0.06962806582450867,111.3,14.7,22,0,0,0.125,21.0,29.647023
5,sfc0-3,21.0,0.08339099586009979,0.05344746708869934,94.5,14.7,20,0,0,0.125,21.0,32.999735
6,sfc0-0,21.0,0.0690927729010582,0.06962806582450867,109.2,14.7,24,0,0,0.125,21.0,33.850283
6,sfc0-1,21.0,0.0690927729010582,0.061537766456604005,109.19999999999999,14.7,22,0,0,0.125,21.0,32.144075
6,sfc0-2,21.0,0.08339099586009979,0.06962806582450867,111.3,14.7,22,0,0,0.125,21.0,29.527175
6,sfc0-3,21.0,0.08339099586009979,0.05344746708869934,94.5,14.7,20,0,0,0.125,21.0,32.805685
7,sfc0-0,21.0,0.0690927729010582,0.06962806582450867,109.2,14.7,24,0,0,0.125,21.0,33.871916
7,sfc0-1,21.0,0.0690927729010582,0.061537766456604005,109.19999999999999,14.7,22,0,0,0.125,21.0,33.293874
7,sfc0-2,21.0,0.08339099586009979,0.06962806582450867,111.3,14.7,22,0,0,0.125,21.0,33.445102
7,sfc0-3,21.0,0.08339099586009979,0.05344746708869934,94.5,14.7,20,0,0,0.125,21.0,32.369293
8,sfc0-0,22.0,0.07111214846372604,0.0696288526058197,114.4,15.4,24,0,0,0.125,21.0,33.411239
8,sfc0-1,22.0,0.07111214846372604,0.061549872159957886,114.39999999999999,15.4,22,0,0,0.125,21.0,29.206682
8,sfc0-2,22.0,0.08602003753185272,0.0696288526058197,116.6,15.4,22,0,0,0.125,21.0,29.386109
8,sfc0-3,22.0,0.08602003753185272,0.05347089171409607,99.0,15.4,20,0,0,0.125,21.0,25.46838
9,sfc0-0,22.0,0.07111214846372604,0.0696288526058197,114.4,15.4,24,0,0,0.125,22.0,33.4473585
9,sfc0-1,22.0,0.07111214846372604,0.061549872159957886,114.39999999999999,15.4,22,0,0,0.125,22.0,31.647249000000002
9,sfc0-2,22.0,0.08602003753185272,0.0696288526058197,116.6,15.4,22,0,0,0.125,22.0,32.013263499999994
9,sfc0-3,22.0,0.08602003753185272,0.05347089171409607,99.0,15.4,20,0,0,0.125,22.0,28.549256
10,sfc0-0,22.0,0.07111214846372604,0.0696288526058197,114.4,15.4,24,0,0,0.125,22.0,33.6176275
